year,gdtemp,srt,rjt,ahm,vad
1750,8.72,26.31,26.07,26.53,26.31
1751,7.98,26.31,26.07,26.53,26.31
1752,5.78,26.31,26.07,26.53,26.31
1753,8.39,26.31,26.07,26.53,26.31
1754,8.47,26.31,26.07,26.53,26.31
1755,8.36,26.31,26.07,26.53,26.31
1756,8.85,26.31,26.07,26.53,26.31
1757,9.02,26.31,26.07,26.53,26.31
1758,6.74,26.31,26.07,26.53,26.31
1759,7.99,26.31,26.07,26.53,26.31
1760,7.19,26.31,26.07,26.53,26.31
1761,8.77,26.31,26.07,26.53,26.31
1762,8.61,26.31,26.07,26.53,26.31
1763,7.50,26.31,26.07,26.53,26.31
1764,8.40,26.31,26.07,26.53,26.31
1765,8.25,26.31,26.07,26.53,26.31
1766,8.41,26.31,26.07,26.53,26.31
1767,8.22,26.31,26.07,26.53,26.31
1768,6.78,26.31,26.07,26.53,26.31
1769,7.69,26.31,26.07,26.53,26.31
1770,7.69,26.31,26.07,26.53,26.31
1771,7.85,26.31,26.07,26.53,26.31
1772,8.19,26.31,26.07,26.53,26.31
1773,8.22,26.31,26.07,26.53,26.31
1774,8.77,26.31,26.07,26.53,26.31
1775,9.18,26.31,26.07,26.53,26.31
1776,8.30,26.31,26.07,26.53,26.31
1777,8.26,26.31,26.07,26.53,26.31
1778,8.54,26.31,26.07,26.53,26.31
1779,8.98,26.31,26.07,26.53,26.31
1780,9.43,26.31,26.07,26.53,26.31
1781,8.10,26.31,26.07,26.53,26.31
1782,7.90,26.31,26.07,26.53,26.31
1783,7.68,26.31,26.07,26.53,26.31
1784,7.86,26.31,26.07,26.53,26.31
1785,7.36,26.31,26.07,26.53,26.31
1786,8.26,26.31,26.07,26.53,26.31
1787,8.03,26.31,26.07,26.53,26.31
1788,8.45,26.31,26.07,26.53,26.31
1789,8.33,26.31,26.07,26.53,26.31
1790,7.98,26.31,26.07,26.53,26.31
1791,8.23,26.31,26.07,26.53,26.31
1792,8.09,26.31,26.07,26.53,26.31
1793,8.23,26.31,26.07,26.53,26.31
1794,8.53,26.31,26.07,26.53,26.31
1795,8.35,26.31,26.07,26.53,26.31
1796,8.27,26.13,25.90,26.35,26.13
1797,8.51,27.13,26.79,27.45,27.13
1798,8.67,25.69,25.72,25.82,25.69
1799,8.51,26.41,26.16,26.62,26.41
1800,8.48,26.37,26.10,26.56,26.37
1801,8.59,25.60,25.63,25.73,25.60
1802,8.58,26.84,26.55,27.01,26.84
1803,8.50,26.60,26.31,26.77,26.60
1804,8.84,26.95,26.63,27.09,26.95
1805,8.56,26.48,26.21,26.67,26.48
1806,8.43,26.38,26.12,26.57,26.38
1807,8.28,25.80,25.79,26.10,25.80
1808,7.63,26.31,26.07,26.53,26.31
1809,7.08,26.31,26.07,26.53,26.31
1810,6.92,26.31,26.07,26.53,26.31
1811,6.86,26.31,26.07,26.53,26.31
1812,7.05,26.31,26.07,26.53,26.31
1813,7.74,25.73,25.46,25.92,25.73
1814,7.59,25.13,24.99,25.26,25.13
1815,7.24,25.26,24.99,25.45,25.26
1816,6.94,24.83,24.54,25.01,24.83
1817,6.98,25.05,24.77,25.23,25.05
1818,7.83,25.54,25.39,25.78,25.54
1819,7.37,25.19,24.93,25.36,25.19
1820,7.62,25.34,25.08,25.52,25.34
1821,8.09,25.95,25.68,26.15,25.95
1822,8.19,25.99,25.72,26.20,25.99
1823,7.72,25.90,25.55,26.03,25.90
1824,8.55,26.51,26.22,26.68,26.51
1825,8.39,26.25,26.00,26.46,26.25
1826,8.36,26.32,26.03,26.49,26.32
1827,8.81,26.42,26.20,26.65,26.42
1828,8.17,26.08,25.81,26.26,26.08
1829,7.94,25.90,25.62,26.08,25.90
1830,8.52,26.13,25.92,26.37,26.13
1831,7.64,25.70,25.38,25.84,25.70
1832,7.45,25.91,25.52,25.99,25.91
1833,8.01,25.99,25.72,26.18,25.99
1834,8.15,26.03,25.78,26.22,26.03
1835,7.39,25.19,24.94,25.36,25.19
1836,7.70,25.66,25.37,25.85,25.66
1837,7.38,25.59,25.27,25.76,25.59
1838,7.51,25.63,25.30,25.78,25.63
1839,7.63,25.72,25.41,25.89,25.72
1840,7.80,25.83,25.51,26.01,25.83
1841,7.69,25.59,25.31,25.78,25.59
1842,8.02,25.92,25.68,26.13,25.92
1843,8.17,25.72,25.53,25.98,25.72
1844,7.65,25.55,25.31,25.74,25.55
1845,7.85,25.82,25.54,25.99,25.82
1846,8.55,26.39,26.07,26.59,26.39
1847,8.09,25.84,26.07,26.03,25.84
1848,7.98,25.80,25.53,25.96,25.80
1849,7.98,25.74,25.50,25.92,25.74
1850,7.90,25.92,25.59,26.08,25.92
1851,8.18,25.87,25.61,26.07,25.87
1852,8.10,25.88,25.64,26.07,25.88
1853,8.04,26.07,25.75,26.24,26.07
1854,8.21,26.20,25.90,26.37,26.20
1855,8.11,26.21,25.94,26.41,26.21
1856,8.00,25.75,25.08,25.36,25.75
1857,7.76,25.42,25.20,25.64,25.42
1858,8.10,26.03,26.07,26.53,26.03
1859,8.25,26.12,26.07,26.53,26.12
1860,7.96,25.88,26.07,26.53,25.88
1861,7.85,25.76,26.07,26.53,25.76
1862,7.56,22.03,26.07,26.53,22.03
1863,8.11,26.31,26.07,26.53,26.31
1864,7.98,26.31,26.07,26.53,26.31
1865,8.18,26.24,27.09,27.77,26.24
1866,8.29,26.27,25.93,26.40,26.27
1867,8.44,26.35,26.03,26.72,26.35
1868,8.25,26.22,25.61,26.01,26.22
1869,8.43,26.34,26.11,26.52,26.34
1870,8.20,26.01,25.75,26.21,26.01
1871,8.12,26.01,25.72,26.20,26.01
1872,8.19,26.03,25.74,26.22,26.03
1873,8.35,26.13,25.86,26.34,26.13
1874,8.43,26.15,25.91,26.36,26.15
1875,7.86,26.27,25.93,26.51,26.27
1876,8.08,26.37,26.01,26.42,26.37
1877,8.54,26.61,26.26,26.66,26.61
1878,8.83,26.65,26.09,26.74,26.65
1879,8.17,25.88,25.47,26.15,25.88
1880,8.12,26.39,26.03,26.57,26.39
1881,8.27,26.12,25.92,26.33,26.12
1882,8.13,25.98,25.71,26.25,25.98
1883,7.98,25.61,25.42,25.84,25.61
1884,7.77,25.53,25.44,25.76,25.53
1885,7.92,25.84,25.64,25.96,25.84
1886,7.95,26.12,25.89,26.34,26.12
1887,7.91,25.76,25.58,26.06,25.76
1888,8.09,26.11,25.83,26.13,26.11
1889,8.32,26.36,26.02,26.52,26.36
1890,7.97,26.25,25.85,26.41,26.25
1891,8.02,26.11,26.03,26.32,26.11
1892,8.07,26.46,26.28,26.70,26.46
1893,8.06,25.35,25.42,25.45,25.35
1894,8.16,26.01,25.68,26.03,26.01
1895,8.15,26.27,25.91,26.50,26.27
1896,8.21,26.88,26.39,26.99,26.88
1897,8.29,26.48,25.89,26.55,26.48
1898,8.18,26.68,26.29,26.94,26.68
1899,8.40,26.81,26.26,27.07,26.81
1900,8.50,26.80,26.27,26.90,26.80
1901,8.54,26.55,26.11,26.83,26.55
1902,8.30,27.06,26.67,27.30,27.06
1903,8.22,26.04,25.72,26.28,26.04
1904,8.09,26.38,26.03,26.62,26.38
1905,8.23,26.05,25.74,26.24,26.05
1906,8.38,26.05,25.73,26.19,26.05
1907,7.95,26.22,25.93,26.36,26.22
1908,8.19,25.93,25.55,26.07,25.93
1909,8.18,25.99,25.56,26.05,25.99
1910,8.22,25.89,25.62,26.09,25.89
1911,8.18,26.45,25.91,26.60,26.45
1912,8.17,26.66,26.34,26.89,26.66
1913,8.30,26.23,25.91,26.44,26.23
1914,8.59,26.40,26.07,26.56,26.40
1915,8.59,26.71,26.27,27.01,26.71
1916,8.23,26.32,26.09,26.50,26.32
1917,8.02,25.48,25.65,25.60,25.48
1918,8.13,26.38,25.99,26.48,26.38
1919,8.38,26.29,25.95,26.39,26.29
1920,8.36,26.51,26.31,26.65,26.51
1921,8.57,26.76,26.43,27.05,26.76
1922,8.41,26.26,26.02,26.43,26.26
1923,8.42,26.33,25.89,26.44,26.33
1924,8.51,26.52,26.20,26.63,26.52
1925,8.53,26.44,26.25,26.66,26.44
1926,8.73,26.45,26.22,26.55,26.45
1927,8.52,26.04,25.80,26.08,26.04
1928,8.63,26.42,26.05,26.60,26.42
1929,8.24,26.56,26.34,26.76,26.56
1930,8.63,26.39,26.09,26.58,26.39
1931,8.72,26.71,26.52,26.95,26.71
1932,8.71,26.62,26.53,26.90,26.62
1933,8.34,26.12,26.16,26.29,26.12
1934,8.63,26.09,25.98,26.35,26.09
1935,8.52,25.99,25.86,26.10,25.99
1936,8.55,26.28,26.14,26.36,26.28
1937,8.70,26.08,25.85,26.24,26.08
1938,8.86,26.21,25.89,26.46,26.21
1939,8.76,26.42,26.12,26.61,26.42
1940,8.76,26.32,26.26,26.54,26.32
1941,8.77,27.15,26.75,27.23,27.15
1942,8.73,26.55,26.28,26.71,26.55
1943,8.76,26.37,26.36,26.69,26.37
1944,8.85,26.33,26.19,26.47,26.33
1945,8.58,25.89,25.66,25.99,25.89
1946,8.68,26.53,26.14,26.65,26.53
1947,8.80,26.56,26.19,26.80,26.56
1948,8.75,26.84,26.48,27.13,26.84
1949,8.59,26.77,26.33,27.11,26.77
1950,8.37,26.01,25.54,26.06,26.01
1951,8.63,26.80,26.37,27.03,26.80
1952,8.64,26.92,26.31,27.08,26.92
1953,8.87,26.89,26.55,27.14,26.89
1954,8.56,26.53,26.21,26.71,26.53
1955,8.63,26.40,26.32,26.68,26.40
1956,8.28,26.21,25.90,26.28,26.21
1957,8.73,26.52,26.04,26.61,26.52
1958,8.77,27.03,26.71,27.28,27.03
1959,8.73,26.65,26.36,26.72,26.65
1960,8.58,26.65,26.28,26.77,26.65
1961,8.80,26.19,25.97,26.29,26.19
1962,8.75,26.42,26.19,26.64,26.42
1963,8.86,26.72,26.67,27.10,26.72
1964,8.41,26.34,25.96,26.51,26.34
1965,8.53,26.65,26.37,26.82,26.65
1966,8.60,26.86,26.53,26.89,26.86
1967,8.70,26.45,26.24,26.46,26.45
1968,8.52,26.29,26.13,26.54,26.29
1969,8.60,27.11,26.64,27.26,27.11
1970,8.70,26.45,26.21,26.71,26.45
1971,8.60,26.21,26.13,26.57,26.21
1972,8.50,26.82,26.34,26.88,26.82
1973,8.95,26.57,26.32,26.72,26.57
1974,8.47,26.79,26.64,27.02,26.79
1975,8.74,26.11,25.99,26.23,26.11
1976,8.35,26.76,26.55,26.79,26.76
1977,8.85,27.01,26.90,27.17,27.01
1978,8.69,26.57,26.35,26.77,26.57
1979,8.73,26.78,26.28,26.97,26.78
1980,8.98,26.95,26.39,27.22,26.95
1981,9.17,26.64,26.25,26.89,26.64
1982,8.64,26.73,26.48,26.74,26.73
1983,9.03,26.10,25.96,26.21,26.10
1984,8.69,26.43,26.13,26.53,26.43
1985,8.66,26.81,26.49,27.13,26.81
1986,8.83,26.81,26.43,26.96,26.81
1987,8.99,27.65,27.37,28.06,27.65
1988,9.20,27.25,27.09,27.61,27.25
1989,8.92,26.60,26.27,26.76,26.60
1990,9.23,26.63,26.59,26.88,26.63
1991,9.18,26.70,26.34,26.90,26.70
1992,8.84,26.78,26.37,26.82,26.78
1993,8.87,27.04,27.07,27.46,27.04
1994,9.04,26.55,26.46,26.74,26.55
1995,9.35,27.03,26.72,27.20,27.03
1996,9.04,27.01,26.64,27.06,27.01
1997,9.20,26.53,26.38,26.45,26.53
1998,9.52,27.32,27.09,27.48,27.32
1999,9.29,26.96,26.85,27.21,26.96
2000,9.20,27.03,27.08,27.44,27.03
2001,9.41,26.90,26.91,27.20,26.90
2002,9.57,27.35,27.15,27.72,27.35
2003,9.53,27.23,26.97,27.40,27.23
2004,9.32,27.29,27.16,27.63,27.29
2005,9.70,26.72,26.51,26.83,26.72
2006,9.53,27.15,26.94,27.28,27.15
2007,9.73,27.31,27.23,27.51,27.31
2008,9.43,26.83,26.51,27.05,26.83
2009,9.51,27.82,27.43,28.10,27.82
2010,9.70,27.68,27.16,28.02,27.68
2011,9.52,27.02,26.84,27.29,27.02
2012,9.51,26.89,26.65,27.03,26.89
2013,9.61,27.44,27.14,27.61,27.44
2014,9.57,26.31,26.07,26.53,26.31
2015,9.83,26.31,26.07,26.53,26.31
